Call Me,Blondie,,,,,,,,,,,,,,,,21,,,15,,,22,,,,,,,,,,,17,,,,,,,,,,10,,,,14,27,26,,,,,,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Me Maybe,Carly Rae Jepsen,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can't Get You out of My Head,Kylie Minogue,,,,17,,,,,,,5,,,,,,6,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,3,,,11,,,,8,8,,9,,14,,6,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candy,Paolo Nutini,,2,,,,4,10,,,,,,14,,16,,,21,,,,8,,,23,18,,,,,,,,,,,,,10,,5,9,1,19,,7,,,,,,,,,,,23,,,4,,,,,,,,,,7,13,,,,12,,,13,,,,,,20,15,,,4,,,,,,,4,,,,,18,,,,,,,15,,14.5,13,,,,,14,15,,,,14,
Chasing Cars,Snow Patrol,,,,6,,,,3,,25,,23,,,,,,,1,,,,3,,,17,5,,,5,23,3,13,4,,1,,,2,,,,,,8,,,15,,,,6,,,8,,,,,,5,,8,10,,6,,,,,15,,14,,,,,,,,,,27,7,,7,,26,,,13.5,,17,14.5,3,7,14,,,,,,,,,14.5,,,,,,13.5,,,,,,,,,15
Cheap Thrills,Sia,26,,,5,19,,,4,,,,,,,,6,4,,,,,,,6,,6,4,4,4,,,,5,19,21,,2,,,,,,,,,,,,9,,,,,12,,,10,,,,20,,23,20,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas (Baby Please Come Home),U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas In Las Vegas,Richard Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
Complicated,Avril Lavigne,,,,,,,,,,12,,,,,24,17,,,2,,,5,,,,,,,14,,,,,,,18,,,,15,,,,,,,,,17,,23,,,5,15,,,,,,17,,,,21,,,,8,,12,14,24,21,,,,,20,,,12,,,,,,,,,,4,,14.5,,,,,14.5,,,,,,,,,,,,,13.5,14.5,,,,,,13,,15
"Comptine d'un autre été, l'après-midi",Yann Tiersen,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy World,Aslan,,,,,,,,,,,,16,,,,,,,,,,,,,,19,,,,12,,,,,,26,,,,3,,,,9,10,,,,,,,,,,19,,8,,,,,,,11,,,5,,,,,,,19,4,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creep,Radiohead,,12,,,4,,8,,,3,,26,,8,21,,,5,,,,10,,4,4,12,3,13,6,,,,,,7,5,,,17,1,19,,23,,,,15,21,22,14,,18,,25,9,,,9,17,,,16,19,,23,,,12,22,,4,,23,5,23,,,21,7,14,7,,,,20,,20,28,,,,,20,14.5,5,,14,14,,,15.5,14,,,13,,,,,13,14,13.5,,,,,,,,,
Crocodile Rock,Elton John,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruel Summer,Taylor Swift,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crush,Jennifer Paige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danger! High Voltage (Soulchild radio mix),Electric 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearg Doom,Horslips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demons,Imagine Dragons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,
Dirty Old Town,The Pogues,,,,,,,,6,22,,,,23,,,,20,22,,,,15,21,17,,,,16,,13,,,9,,,9,,,22,9,3,21,16,,15,10,5,,8,27,,,13,,7,14,,,,17,8,28,,,,,,,12,1,,,,,18,,,,,,,,,23,25,,,22,,,13.5,,3,,,,14,14,,11,,,13.5,14.5,,,,14.5,14.5,,14,,14.5,,14,,,,,,15
Do They Know It's Christmas?,Band Aid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,
Dog Days Are Over,Florence + The Machine,,,15,,11,,,,,,26,,,,8,13,1,15,,,,7,,16,,10,24,5,9,,12,4,8,2,,,17,,,,,,13,,,,3,,20,,,4,,27,23,20,,,,18,9,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Be a Dick at Christmas,Seán Carabini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,29,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,13,,,,,,,,,,,,,,,,
Don't Speak,No Doubt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
